Pixel,Wavenumber,Processed,Raw,Dark
897,1504.45,2136.00,2676.60,540.60
898,1506.02,2027.10,2570.50,543.40
899,1507.59,1969.40,2519.80,550.40
900,1509.16,1924.10,2473.40,549.30
901,1510.73,1853.20,2396.30,543.10
902,1512.30,1815.20,2362.40,547.20
903,1513.87,1746.60,2294.90,548.30
904,1515.44,1700.30,2248.90,548.60
905,1517.00,1700.90,2259.60,558.70
906,1518.57,1651.70,2207.90,556.20
907,1520.13,1566.30,2109.80,543.50
908,1521.69,1561.30,2105.30,544.00
909,1523.26,1548.10,2096.40,548.30
910,1524.82,1478.00,2027.20,549.20
911,1526.38,1447.70,1995.80,548.10
912,1527.94,1429.10,2031.80,602.70
913,1529.50,1405.00,2009.40,604.40
914,1531.05,1389.10,1939.80,550.70
915,1532.61,1385.30,1937.50,552.20
916,1534.17,1357.70,1908.20,550.50
917,1535.72,1308.30,1863.70,555.40
918,1537.28,1257.40,1810.00,552.60
919,1538.83,1258.20,1808.30,550.10
920,1540.38,1255.20,1808.60,553.40
921,1541.93,1211.10,1766.90,555.80
922,1543.48,1195.00,1756.40,561.40
923,1545.03,1175.50,1766.60,591.10
924,1546.58,1173.60,1762.80,589.20
925,1548.13,1153.70,1706.50,552.80
926,1549.68,1124.50,1668.50,544.00
927,1551.23,1099.70,1639.60,539.90
928,1552.77,1080.60,1623.50,542.90
929,1554.32,1083.00,1627.70,544.70
930,1555.86,1055.20,1603.20,548.00
931,1557.40,1034.70,1580.20,545.50
932,1558.95,1034.60,1581.20,546.60
933,1560.49,1019.60,1571.30,551.70
934,1562.03,1004.80,1571.70,566.90
935,1563.57,996.10,1588.40,592.30
936,1565.11,958.70,1530.40,571.70
937,1566.64,950.70,1493.80,543.10
938,1568.18,960.70,1558.40,597.70
939,1569.72,927.70,1524.20,596.50
940,1571.25,915.70,1459.10,543.40
941,1572.79,916.80,1465.50,548.70
942,1574.32,926.10,1477.20,551.10
943,1575.85,924.40,1512.60,588.20
944,1577.38,895.80,1474.70,578.90
945,1578.92,900.20,1441.50,541.30
946,1580.45,907.40,1451.30,543.90
947,1581.98,879.50,1422.20,542.70
948,1583.50,874.60,1721.80,847.20
949,1585.03,867.50,1715.20,847.70
950,1586.56,837.90,1386.60,548.70
951,1588.08,856.90,1458.70,601.80
952,1589.61,847.70,1451.80,604.10
953,1591.13,791.80,1438.50,646.70
954,1592.66,806.60,1519.80,713.20
955,1594.18,834.20,1447.40,613.20
956,1595.70,812.70,1352.40,539.70
957,1597.22,804.40,1346.60,542.20
958,1598.74,810.70,1352.10,541.40
959,1600.26,798.00,1342.20,544.20
960,1601.78,791.20,1341.70,550.50
961,1603.30,793.40,1339.90,546.50
962,1604.82,810.30,1357.60,547.30
963,1606.33,814.60,1362.10,547.50
964,1607.85,800.20,1345.60,545.40
965,1609.36,816.80,1356.60,539.80
966,1610.87,808.10,1340.90,532.80
967,1612.39,799.20,1341.40,542.20
968,1613.90,812.50,1363.40,550.90
969,1615.41,788.50,1335.40,546.90
970,1616.92,795.40,1341.00,545.60
971,1618.43,799.00,1343.00,544.00
972,1619.94,758.60,1713.40,954.80
973,1621.45,770.80,1732.00,961.20
974,1622.95,765.30,1317.10,551.80
975,1624.46,733.80,1278.80,545.00
976,1625.96,753.70,1294.50,540.80
977,1627.47,754.10,1295.70,541.60
978,1628.97,732.60,1282.40,549.80
979,1630.47,721.80,1276.10,554.30
980,1631.98,732.50,1280.90,548.40
981,1633.48,726.40,1274.10,547.70
982,1634.98,680.00,1226.00,546.00
983,1636.48,675.30,1218.30,543.00
984,1637.98,693.70,1236.60,542.90
985,1639.47,663.00,1204.80,541.80
986,1640.97,640.60,1183.50,542.90
